Layer#,DLYER,SAT,DUL,LL,ADRY,iWL,DRAINF,FG,BDL,NORG,FMIN,iNSOL
<-- SoilRowNo,,,,,,,,,,,,
Code,Description:,,,,,,,,,,,
Keiser_AR,,,,,,,,,,,,
NLYER,LDRAIN,SALB,U,CN2,,,,,,,,
10,0,0.13,6,72,,,,,,,,
1,200,0.511959404471991,0.419397905119991,0.29099768404,0.14549884202,0.419397905119991,0.7,0,1.29330757814923,1.30813953488372,0.1,
2,200,0.511959404471991,0.419397905119991,0.29099768404,0.14549884202,0.419397905119991,0.7,0,1.29330757814923,1.30813953488372,0.1,
3,200,0.511959404471991,0.419397905119991,0.29099768404,0.14549884202,0.419397905119991,0.7,0,1.29330757814923,1.30813953488372,0.1,
4,200,0.511959404471991,0.419397905119991,0.29099768404,0.14549884202,0.419397905119991,0.7,0,1.29330757814923,1.30813953488372,0.1,
5,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
6,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
7,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
8,200,0.616289697237437,0.516838143237437,0.43123594,0.43123594,0.516838143237437,0.7,0,1.01683230232079,0.145348837209302,0.1,
9,200,0.56460212347,0.46524752347,0.347935,0.347935,0.46524752347,0.7,0,1.1538043728045,0.145348837209302,0.1,
10,200,0.56460212347,0.46524752347,0.347935,0.347935,0.46524752347,0.7,0,1.1538043728045,0.145348837209302,0.1,
